id,student_id,course_id,enrollment_date,status,final_grade
108,43,86,2023-07-30,completed,B
109,44,8,2025-09-03,dropped,
110,45,74,2025-08-04,active,
111,45,69,2024-07-15,completed,C
112,46,12,2024-11-24,active,
113,46,116,2023-05-17,completed,C
114,46,66,2025-05-12,active,
115,46,58,2024-01-18,completed,B
116,47,96,2025-05-02,active,
117,48,55,2023-06-15,completed,B
118,49,120,2023-08-27,dropped,
119,50,5,2024-04-04,completed,C
120,50,37,2023-09-07,completed,B
121,50,53,2024-05-25,completed,E
122,50,24,2025-05-24,active,
123,51,84,2025-08-12,active,
124,51,111,2024-10-20,completed,A
125,52,107,2024-02-04,completed,B
126,52,1,2025-07-10,dropped,
127,53,69,2024-06-27,completed,A
128,53,49,2024-05-04,dropped,
129,53,106,2024-10-21,active,
130,53,30,2025-02-24,dropped,
131,54,79,2025-09-21,active,
132,54,99,2025-06-02,active,
133,54,120,2023-08-25,completed,C
134,54,114,2025-09-11,active,
135,55,52,2024-11-04,completed,A
136,56,18,2023-03-06,dropped,
137,57,105,2023-06-23,completed,C
138,57,118,2024-10-30,completed,B
139,58,113,2025-11-10,active,
140,58,19,2025-07-07,active,
141,58,85,2023-02-08,dropped,
142,59,81,2024-12-20,active,
143,59,87,2023-03-05,dropped,
144,60,101,2025-11-12,active,
145,60,68,2025-11-11,active,
146,60,41,2024-11-10,active,
147,60,90,2023-03-16,dropped,
148,61,110,2023-05-31,dropped,
149,61,91,2025-11-26,active,
150,61,19,2025-07-14,active,
151,62,50,2023-11-08,completed,C
152,62,32,2025-04-06,dropped,
153,63,69,2024-07-28,dropped,
154,64,35,2025-03-25,active,
155,65,112,2024-07-22,completed,C
156,66,62,2025-06-06,active,
157,66,27,2024-05-08,completed,A
158,67,96,2025-06-06,active,
159,68,90,2023-04-15,completed,E
160,68,78,2025-05-14,active,
161,69,49,2024-06-02,completed,B
162,69,60,2024-11-22,dropped,
163,69,69,2024-07-11,completed,F
164,70,98,2024-08-11,completed,B
165,70,108,2024-06-26,dropped,
166,70,41,2024-11-09,active,
167,70,118,2024-09-27,completed,C
168,71,38,2023-10-14,completed,D
169,71,20,2024-10-27,completed,E
170,71,26,2023-04-14,completed,D
171,71,43,2025-01-06,completed,B
172,72,94,2025-06-11,active,
173,72,102,2025-07-02,active,
174,73,118,2024-10-15,dropped,
175,73,114,2025-09-11,active,
176,74,105,2023-06-19,completed,A
177,75,108,2024-06-04,completed,A
178,75,81,2024-12-06,active,
179,76,8,2025-09-10,dropped,
180,76,80,2024-05-10,completed,A
181,76,82,2023-06-29,completed,A
182,77,69,2024-07-14,dropped,
183,77,37,2023-09-04,completed,E
184,77,3,2024-10-08,completed,A
185,78,31,2023-06-18,completed,D
186,78,25,2025-12-02,dropped,
187,79,48,2024-11-29,active,
188,80,90,2023-03-20,completed,D
189,80,29,2024-04-27,dropped,
190,81,12,2024-12-16,active,
191,82,8,2025-08-09,active,
192,82,82,2023-06-22,completed,B
193,82,2,2023-04-21,dropped,
194,82,90,2023-03-03,completed,E
195,83,35,2025-04-13,dropped,
196,83,6,2025-07-21,active,
197,83,119,2025-10-28,active,
198,83,10,2024-10-27,active,
199,84,76,2023-11-21,dropped,
200,84,19,2025-07-13,dropped,
201,85,21,2023-11-21,dropped,
202,85,73,2024-11-11,completed,B
203,85,31,2023-06-03,active,
204,86,102,2025-07-02,active,
205,86,89,2023-05-27,dropped,
206,87,13,2025-09-11,active,
207,88,44,2023-03-27,active,
208,89,100,2025-05-27,dropped,
209,89,42,2025-08-16,active,
210,89,4,2025-10-24,active,
211,89,82,2023-06-19,completed,C
212,90,11,2025-05-01,dropped,
213,90,99,2025-06-03,active,
214,90,80,2024-05-04,completed,C
215,90,38,2023-11-16,completed,B
216,91,1,2025-06-16,active,
217,92,14,2023-08-05,completed,C
218,92,17,2023-10-23,completed,A
219,92,12,2024-12-13,active,
220,93,111,2024-10-04,completed,C
221,93,50,2023-12-08,dropped,
222,93,2,2023-04-30,completed,A
223,94,22,2025-06-13,active,
224,94,18,2023-02-06,completed,B
225,94,35,2025-03-20,active,
226,94,39,2023-11-26,completed,E
227,95,77,2024-07-20,completed,A
228,95,79,2025-10-15,active,
229,95,26,2023-05-02,completed,D
230,95,59,2023-07-25,completed,D
231,96,39,2023-12-30,dropped,
232,96,42,2025-07-31,active,
233,97,51,2024-11-11,completed,C
234,97,41,2024-10-29,completed,B
235,98,105,2023-05-31,completed,C
236,98,101,2025-11-23,dropped,
237,98,51,2024-11-04,completed,C
238,99,91,2025-11-09,dropped,
239,99,27,2024-05-12,dropped,
240,99,57,2025-02-01,completed,C
241,99,103,2024-12-29,active,
242,100,33,2023-01-22,completed,C
243,100,85,2023-01-08,completed,C
244,101,69,2024-07-26,completed,A
245,101,65,2025-06-14,dropped,
246,101,119,2025-11-29,active,
247,101,118,2024-09-16,completed,A
248,102,22,2025-05-29,active,
249,102,83,2025-11-16,active,
250,102,79,2025-10-15,dropped,
251,103,102,2025-05-17,active,
252,103,56,2025-11-28,active,
253,103,14,2023-08-27,completed,C
254,104,58,2024-01-24,completed,C
255,104,48,2024-12-18,active,
256,105,4,2025-10-20,active,
257,105,62,2025-05-21,active,
258,105,14,2023-09-09,completed,B
259,106,101,2025-11-08,active,
260,106,27,2024-06-05,completed,B
261,106,67,2023-03-22,completed,D
262,106,62,2025-05-23,active,
263,107,83,2025-10-16,dropped,
264,107,14,2023-09-10,completed,A
265,107,87,2023-03-12,completed,B
266,108,30,2025-03-05,active,
267,108,103,2025-02-01,active,
268,108,52,2024-10-08,completed,D
269,108,81,2024-12-21,active,
270,109,1,2025-06-14,dropped,
271,109,91,2025-12-11,active,
272,109,28,2025-05-07,dropped,
273,109,27,2024-06-11,completed,B
274,110,15,2023-02-24,completed,C
275,110,34,2025-01-19,active,
276,110,86,2023-07-27,completed,B
277,110,111,2024-10-15,completed,D
278,111,118,2024-09-16,completed,B
279,111,79,2025-10-05,active,
280,111,76,2023-10-15,completed,A
281,112,54,2023-10-11,completed,B
282,112,77,2024-08-17,completed,C
283,112,18,2023-02-13,completed,B
284,112,74,2025-08-03,active,
285,113,80,2024-04-10,completed,A
286,113,7,2025-05-18,dropped,
287,113,111,2024-10-18,completed,B
288,113,46,2023-03-27,completed,D
289,114,22,2025-07-16,dropped,
290,114,11,2025-05-04,active,
291,114,73,2024-11-01,active,
292,114,4,2025-10-12,dropped,
293,115,71,2023-03-28,completed,B
294,115,66,2025-04-30,active,
295,115,15,2023-03-13,completed,C
296,115,74,2025-08-29,active,
297,116,14,2023-09-11,completed,D
298,116,95,2025-09-17,active,
299,116,107,2024-01-09,dropped,
300,116,84,2025-07-26,active,
301,117,100,2025-05-25,active,
302,118,111,2024-10-26,completed,C
303,118,91,2025-12-11,active,
304,118,79,2025-10-03,dropped,
305,119,69,2024-07-16,completed,F
306,119,36,2024-11-14,completed,B
307,119,77,2024-08-15,dropped,
308,120,18,2023-03-22,active,
309,121,36,2024-12-07,completed,D
310,122,19,2025-07-08,dropped,
311,122,92,2024-02-14,dropped,
312,123,63,2024-07-24,completed,B
313,123,19,2025-06-22,active,
314,123,74,2025-09-13,active,
315,123,81,2024-12-25,completed,C
316,124,59,2023-08-03,completed,C
317,124,63,2024-08-22,completed,F
318,124,42,2025-08-28,active,
319,125,109,2024-08-11,completed,F
320,125,9,2023-06-30,completed,B
321,125,102,2025-06-04,active,
322,126,73,2024-11-18,completed,D
323,126,110,2023-06-19,completed,A
324,127,3,2024-10-07,completed,A
325,127,16,2024-09-21,completed,C
326,127,119,2025-11-03,dropped,
327,127,110,2023-05-21,completed,E
328,128,12,2024-12-07,active,
329,128,84,2025-09-01,dropped,
330,128,47,2025-08-12,active,
331,129,93,2023-08-27,completed,A
332,129,90,2023-03-07,completed,B
333,129,97,2024-08-02,completed,B
334,130,2,2023-04-22,dropped,
335,130,90,2023-03-28,completed,B
336,130,44,2023-03-03,completed,C
337,130,105,2023-05-14,completed,B
338,131,18,2023-03-22,dropped,
339,131,49,2024-06-02,dropped,
340,131,100,2025-05-19,active,
341,132,79,2025-10-31,active,
342,133,93,2023-09-29,completed,B
343,133,28,2025-06-13,active,
344,133,81,2024-12-06,active,
345,134,18,2023-03-22,completed,C
346,135,55,2023-06-01,completed,C
347,135,41,2024-10-08,active,
348,135,102,2025-06-24,dropped,
349,136,100,2025-06-21,dropped,
350,136,89,2023-04-23,completed,B
351,136,4,2025-11-18,active,
352,137,101,2025-12-06,dropped,
353,138,50,2023-12-02,completed,B
354,138,15,2023-01-24,dropped,
355,138,31,2023-05-30,completed,D
356,138,64,2024-10-01,completed,B
357,139,98,2024-09-16,completed,C
358,139,61,2023-10-13,completed,A
359,140,102,2025-06-11,active,
360,141,55,2023-07-03,completed,C
361,141,90,2023-03-18,completed,A
362,141,52,2024-10-20,dropped,
363,141,11,2025-04-25,active,
364,142,76,2023-11-14,completed,A
365,142,82,2023-07-09,completed,F
366,142,98,2024-08-13,completed,A
367,142,107,2024-01-14,completed,C
368,143,40,2025-10-20,dropped,
369,144,16,2024-10-09,completed,A
370,144,2,2023-05-16,dropped,
371,145,22,2025-07-13,dropped,
372,145,48,2024-11-21,completed,A
373,145,17,2023-09-22,completed,B
374,146,34,2025-01-26,dropped,
375,147,64,2024-09-24,completed,A
376,148,48,2024-11-20,completed,D
377,148,21,2023-11-28,completed,A
378,149,6,2025-06-17,active,
379,150,47,2025-08-13,dropped,
380,150,50,2023-10-25,completed,E
381,150,118,2024-10-28,completed,A
382,150,20,2024-10-11,completed,C
383,151,106,2024-09-28,completed,C
384,151,10,2024-10-10,active,
385,151,74,2025-08-28,dropped,
386,152,9,2023-07-05,active,
387,152,113,2025-10-27,active,
388,152,60,2024-11-25,active,
389,152,111,2024-10-09,completed,C
390,153,95,2025-10-14,active,
391,153,80,2024-05-11,dropped,
392,153,32,2025-04-27,active,
393,154,20,2024-10-22,completed,B
394,154,1,2025-07-07,dropped,
395,155,43,2024-11-21,completed,B
396,156,14,2023-08-09,completed,F
397,156,27,2024-05-17,completed,A
398,156,68,2025-11-06,dropped,
399,157,90,2023-04-17,completed,A
400,157,115,2025-07-24,active,
401,157,48,2024-11-29,active,
402,157,59,2023-08-02,completed,C
403,158,31,2023-05-26,dropped,
404,158,38,2023-10-25,completed,C
405,159,58,2024-01-03,dropped,
406,159,35,2025-03-09,dropped,
407,159,30,2025-03-31,active,
408,160,22,2025-06-24,active,
409,161,16,2024-09-07,completed,B
410,161,69,2024-06-19,completed,D
411,161,46,2023-03-15,dropped,
412,161,99,2025-07-12,active,
413,162,107,2024-01-07,completed,C
414,162,110,2023-05-24,completed,A
415,163,34,2024-12-13,dropped,
416,163,105,2023-06-05,completed,C
417,163,23,2025-04-04,active,
418,164,16,2024-08-28,dropped,
419,164,2,2023-04-29,completed,D
420,165,88,2025-07-15,active,
421,165,81,2024-12-09,dropped,
422,165,83,2025-10-10,active,
423,166,26,2023-05-04,completed,A
424,167,16,2024-08-28,completed,C
425,167,6,2025-08-02,active,
426,167,60,2024-10-22,active,
427,168,23,2025-04-09,active,
428,168,46,2023-03-24,dropped,
429,168,28,2025-05-03,active,
430,168,117,2025-04-30,active,
431,169,64,2024-09-30,completed,A
432,169,53,2024-05-25,completed,A
433,169,113,2025-11-10,active,
434,170,49,2024-06-11,completed,B
435,171,45,2023-06-24,completed,A
436,171,117,2025-04-11,active,
437,171,73,2024-10-19,dropped,
438,171,65,2025-07-10,active,
439,172,68,2025-11-06,dropped,
440,172,46,2023-03-02,completed,A
441,172,99,2025-07-02,dropped,
442,172,75,2023-01-28,completed,F
443,173,74,2025-08-19,active,
444,173,109,2024-07-19,completed,C
445,174,117,2025-05-06,dropped,
446,174,76,2023-11-09,completed,C
447,174,4,2025-10-14,dropped,
448,175,70,2024-03-02,completed,A
449,175,40,2025-09-22,active,
450,175,23,2025-04-28,active,
451,175,63,2024-08-15,completed,A
452,176,118,2024-10-01,completed,A
453,176,103,2025-02-04,dropped,
454,177,109,2024-08-10,dropped,
455,178,48,2024-12-19,dropped,
456,179,76,2023-10-24,completed,A
457,179,13,2025-09-11,dropped,
458,179,44,2023-03-20,completed,A
459,179,39,2023-12-27,completed,E
460,180,29,2024-03-28,completed,C
461,180,86,2023-07-20,completed,C
462,180,76,2023-11-17,dropped,
463,181,109,2024-07-19,completed,E
464,181,99,2025-07-07,active,
465,181,73,2024-11-23,active,
466,181,5,2024-03-17,completed,C
467,182,45,2023-06-14,completed,F
468,182,41,2024-11-07,completed,C
469,183,58,2024-01-12,completed,A
470,183,2,2023-05-01,active,
471,183,34,2025-01-27,active,
472,184,57,2025-01-08,active,
473,184,94,2025-06-13,active,
474,184,54,2023-10-11,completed,B
475,184,22,2025-07-02,active,
476,185,21,2023-10-20,active,
477,185,58,2024-01-01,completed,B
478,186,10,2024-10-28,active,
479,187,21,2023-10-21,completed,F
480,187,94,2025-06-19,dropped,
481,187,10,2024-11-03,dropped,
482,187,71,2023-03-31,completed,B
483,188,13,2025-09-05,active,
484,189,53,2024-06-05,completed,C
485,189,90,2023-03-17,completed,B
486,190,7,2025-05-19,active,
487,191,20,2024-10-23,completed,D
488,191,7,2025-06-03,active,
489,191,47,2025-08-14,active,
490,191,1,2025-06-10,active,
491,192,11,2025-04-23,active,
492,192,61,2023-11-07,completed,D
493,192,109,2024-07-24,completed,B
494,193,48,2024-11-28,active,
495,193,114,2025-10-06,active,
496,194,60,2024-11-07,active,
497,194,34,2024-12-21,completed,C
498,194,29,2024-03-22,completed,D
499,194,108,2024-06-16,dropped,
500,195,71,2023-04-14,dropped,
501,195,8,2025-08-25,dropped,
502,196,74,2025-08-14,active,
503,196,113,2025-11-22,active,
504,196,31,2023-06-15,dropped,
505,196,61,2023-11-18,completed,C
506,197,97,2024-08-22,completed,F
507,198,104,2023-10-20,completed,A
508,198,25,2025-12-28,active,
509,199,107,2024-01-03,completed,C
510,199,77,2024-07-18,completed,C
511,200,110,2023-05-31,dropped,
512,200,36,2024-10-27,active,
513,200,67,2023-04-26,completed,C
514,201,54,2023-09-26,completed,C
515,202,119,2025-11-01,active,
516,203,101,2025-11-04,dropped,
517,204,113,2025-11-01,active,
518,204,53,2024-06-06,completed,A
519,204,34,2024-12-29,active,
520,205,5,2024-03-07,completed,A
521,205,51,2024-11-23,dropped,
522,205,114,2025-10-01,active,
523,205,113,2025-11-27,active,
524,206,108,2024-07-04,completed,F
525,206,63,2024-07-21,completed,F
526,206,110,2023-05-30,active,
527,207,35,2025-04-08,active,
528,207,94,2025-06-01,active,
529,207,54,2023-10-13,completed,C
530,208,106,2024-10-25,completed,B
531,208,8,2025-08-31,active,
532,208,66,2025-05-26,dropped,
533,209,23,2025-04-10,dropped,
534,210,108,2024-06-05,completed,A
535,210,8,2025-08-22,dropped,
536,211,48,2024-12-06,active,
537,211,106,2024-09-12,completed,A
538,211,60,2024-11-21,active,
539,212,112,2024-08-24,completed,B
540,212,61,2023-10-29,completed,C
541,213,4,2025-10-12,dropped,
542,213,50,2023-12-11,dropped,
543,213,7,2025-05-08,active,
544,214,35,2025-03-27,active,
545,214,84,2025-09-08,dropped,
546,215,61,2023-10-21,completed,C
547,216,29,2024-04-02,completed,E
548,217,55,2023-06-15,completed,A
549,217,115,2025-08-04,active,
550,217,49,2024-05-31,completed,A
551,218,72,2023-06-25,completed,C
552,218,83,2025-11-05,active,
553,218,77,2024-07-31,completed,D
554,219,84,2025-08-31,active,
555,219,92,2024-01-06,completed,A
556,219,115,2025-07-19,dropped,
557,220,85,2023-02-19,completed,B
558,220,41,2024-10-11,active,
559,220,88,2025-08-05,active,
560,220,18,2023-03-21,completed,C
561,221,44,2023-04-03,completed,B
562,221,93,2023-10-02,completed,E
563,222,65,2025-06-01,dropped,
564,222,39,2023-12-27,completed,A
565,222,109,2024-07-16,completed,C
566,223,88,2025-07-31,active,
567,223,116,2023-04-29,completed,C
568,224,54,2023-10-08,completed,C
569,224,101,2025-11-15,dropped,
570,224,114,2025-10-08,active,
571,225,61,2023-10-25,completed,D
572,226,68,2025-11-01,active,
573,226,39,2023-12-04,completed,F
574,226,53,2024-05-30,completed,D
575,226,7,2025-05-05,dropped,
576,227,43,2024-12-31,active,
577,227,81,2024-12-21,active,
578,227,23,2025-05-16,dropped,
579,227,41,2024-10-29,completed,B
580,228,17,2023-10-30,completed,B
581,229,62,2025-06-19,active,
582,229,50,2023-11-15,dropped,
583,229,1,2025-06-17,dropped,
584,229,5,2024-03-19,completed,C
585,230,29,2024-04-08,completed,A
586,230,89,2023-05-12,completed,A
587,231,39,2023-12-10,completed,B
588,232,56,2025-11-22,active,
589,232,114,2025-10-09,active,
590,232,88,2025-07-22,active,
591,233,3,2024-10-05,completed,A
592,233,30,2025-03-26,active,
593,233,29,2024-04-09,completed,C
594,233,94,2025-06-13,dropped,
595,234,99,2025-06-01,active,
596,234,69,2024-06-15,completed,C
597,234,80,2024-04-11,completed,A
598,235,49,2024-05-22,completed,A
599,235,16,2024-10-07,completed,B
600,235,71,2023-05-02,completed,B
601,235,33,2023-02-21,completed,A
602,236,66,2025-05-23,active,
603,237,15,2023-02-24,completed,A
604,237,101,2025-11-02,dropped,
605,237,14,2023-08-06,completed,B
606,238,6,2025-07-18,dropped,
607,238,71,2023-05-04,dropped,
608,239,31,2023-06-21,completed,A
609,239,1,2025-07-03,active,
610,239,2,2023-04-24,dropped,
611,240,93,2023-09-28,completed,B
612,241,59,2023-07-13,completed,A
613,241,38,2023-10-11,dropped,
614,242,47,2025-08-22,active,
615,242,103,2024-12-28,active,
616,242,87,2023-04-19,dropped,
617,243,110,2023-05-10,completed,A
618,244,115,2025-08-02,dropped,
619,244,57,2024-12-18,active,
620,244,80,2024-05-01,completed,B
621,245,35,2025-03-31,dropped,
622,245,107,2024-01-28,dropped,
623,245,50,2023-11-02,completed,C
624,245,89,2023-04-13,dropped,
625,246,14,2023-08-31,completed,C
626,246,54,2023-10-15,completed,B
627,247,79,2025-11-02,dropped,
628,247,4,2025-11-17,dropped,
629,247,111,2024-09-24,completed,B
630,248,57,2025-01-23,active,
631,248,6,2025-08-01,dropped,
632,248,9,2023-07-20,active,
633,248,34,2025-01-17,completed,A
634,249,67,2023-04-26,completed,C
635,249,89,2023-04-25,completed,C
636,249,90,2023-04-11,completed,D
637,250,2,2023-05-26,dropped,
638,251,110,2023-05-06,active,
639,251,64,2024-09-15,completed,F
640,251,112,2024-07-21,completed,C
641,251,22,2025-06-20,active,
642,252,11,2025-05-14,dropped,
643,252,59,2023-07-25,completed,B
644,253,16,2024-10-05,completed,B
645,253,64,2024-08-28,completed,A
646,253,96,2025-04-24,dropped,
647,254,114,2025-09-21,active,
648,254,66,2025-05-06,dropped,
649,254,72,2023-06-10,dropped,
650,255,109,2024-07-29,completed,C
651,255,59,2023-07-27,completed,B
652,256,15,2023-02-07,completed,B
653,256,13,2025-09-24,dropped,
654,256,98,2024-08-16,completed,B
655,256,85,2023-01-10,completed,A
656,257,106,2024-10-22,completed,A
657,257,92,2024-02-05,completed,A
658,258,28,2025-05-13,dropped,
659,258,59,2023-07-03,active,
660,258,106,2024-09-07,dropped,
661,258,101,2025-11-29,active,
662,259,59,2023-07-05,dropped,
663,259,85,2023-01-04,completed,A
664,259,76,2023-10-31,dropped,
665,259,65,2025-06-21,dropped,
666,260,89,2023-04-21,completed,A
667,260,75,2023-01-05,completed,C
668,261,65,2025-06-17,dropped,
669,261,113,2025-11-21,dropped,
670,261,50,2023-11-09,completed,B
671,262,58,2024-01-07,completed,C
672,262,104,2023-11-28,completed,D
673,262,18,2023-03-09,dropped,
674,263,26,2023-05-02,completed,C
675,263,27,2024-06-20,completed,C
676,264,65,2025-07-05,active,
677,264,70,2024-04-14,completed,B
678,265,75,2023-01-07,completed,D
679,265,74,2025-08-29,active,
680,265,86,2023-07-29,dropped,
681,265,91,2025-11-24,active,
682,266,19,2025-06-30,active,
683,266,7,2025-06-13,active,
684,266,86,2023-07-20,completed,A
685,266,8,2025-08-02,active,
686,267,27,2024-05-10,completed,B
687,267,97,2024-09-02,dropped,
688,267,70,2024-04-16,completed,A
689,268,31,2023-06-23,completed,C
690,268,66,2025-05-01,active,
691,268,101,2025-12-06,dropped,
692,268,102,2025-06-06,dropped,
693,269,2,2023-06-01,completed,C
694,270,107,2024-02-01,completed,B
695,270,29,2024-04-23,completed,C
696,270,117,2025-05-10,dropped,
697,270,82,2023-06-07,completed,A
698,271,24,2025-05-11,dropped,
699,272,49,2024-04-24,completed,C
700,273,21,2023-11-01,completed,B
701,273,75,2022-12-21,completed,E
702,274,100,2025-06-19,active,
703,275,63,2024-08-11,completed,C
704,275,102,2025-06-06,active,
705,275,74,2025-08-06,active,
706,276,54,2023-10-21,completed,B
707,276,70,2024-03-13,completed,B
708,277,28,2025-06-03,active,
709,277,97,2024-08-29,dropped,
710,277,80,2024-05-21,completed,C
711,278,31,2023-06-18,completed,A
712,278,116,2023-05-05,completed,C
713,278,83,2025-10-13,active,
714,278,79,2025-10-24,dropped,
715,279,117,2025-04-24,dropped,
716,280,66,2025-05-08,active,
717,280,103,2025-01-31,active,
718,280,58,2024-01-31,completed,A
719,281,81,2024-11-27,active,
720,282,111,2024-10-13,dropped,
721,282,88,2025-07-23,active,
722,283,83,2025-11-18,active,
723,283,105,2023-06-06,completed,A
724,283,10,2024-10-11,active,
725,283,96,2025-06-08,active,
726,284,74,2025-08-09,dropped,
727,285,50,2023-11-19,completed,B
728,285,58,2024-01-06,completed,C
729,285,81,2025-01-01,active,
730,285,52,2024-11-23,completed,C
731,286,46,2023-03-28,completed,C
732,287,78,2025-05-27,dropped,
733,287,12,2024-12-15,active,
734,287,37,2023-09-03,completed,A
735,288,18,2023-02-27,active,
736,288,96,2025-05-23,active,
737,289,39,2024-01-11,dropped,
738,289,87,2023-04-12,completed,E
739,290,16,2024-08-25,completed,B
740,290,6,2025-07-22,dropped,
741,291,27,2024-06-23,completed,B
742,291,96,2025-05-30,dropped,
743,291,95,2025-09-24,active,
744,292,79,2025-10-06,active,
745,292,107,2023-12-29,completed,C
746,293,109,2024-08-25,dropped,
747,294,83,2025-11-17,active,
748,294,71,2023-03-27,completed,C
749,294,10,2024-10-28,active,
750,294,38,2023-11-11,completed,A
751,295,116,2023-04-27,completed,B
752,296,89,2023-05-16,completed,D
753,296,75,2023-01-08,completed,B
754,296,20,2024-11-15,completed,C
755,297,36,2024-12-09,completed,D
756,297,108,2024-06-19,completed,C
757,297,47,2025-09-02,active,
758,297,18,2023-02-13,completed,A
759,298,110,2023-06-05,completed,C
760,298,106,2024-10-15,completed,A
761,298,18,2023-02-03,dropped,
762,299,105,2023-06-14,completed,C
763,300,117,2025-04-26,active,
764,300,5,2024-03-20,completed,C
765,301,51,2024-12-12,active,
766,301,29,2024-04-04,completed,B
767,301,115,2025-07-21,active,
768,302,85,2023-01-19,dropped,
769,303,97,2024-08-02,completed,A
770,303,66,2025-05-13,active,
771,304,95,2025-10-15,dropped,
772,304,94,2025-05-22,active,
773,305,30,2025-03-08,active,
774,305,9,2023-06-30,completed,C
775,305,34,2025-01-05,active,
776,305,48,2024-12-03,dropped,
777,306,84,2025-08-10,active,
778,307,107,2024-01-24,completed,A
779,307,95,2025-10-26,active,
780,307,34,2025-01-18,completed,D
781,308,49,2024-05-25,completed,D
782,308,117,2025-04-13,active,
783,308,29,2024-04-16,dropped,
784,309,65,2025-05-30,active,
785,310,10,2024-11-17,active,
786,310,66,2025-04-16,active,
787,311,78,2025-04-16,active,
788,311,92,2024-01-23,dropped,
789,311,105,2023-06-23,completed,C
790,312,27,2024-06-03,completed,A
791,312,76,2023-11-09,completed,A
792,312,21,2023-11-17,completed,C
793,312,83,2025-10-09,active,
794,313,67,2023-04-25,dropped,
795,313,52,2024-11-16,completed,C
796,314,11,2025-05-24,dropped,
797,314,28,2025-05-31,active,
798,314,58,2024-01-25,completed,C
799,315,80,2024-05-12,completed,C
800,315,85,2023-01-25,dropped,
801,316,30,2025-03-18,active,
802,317,3,2024-10-09,completed,E
803,318,106,2024-09-16,completed,C
804,318,20,2024-09-28,dropped,
